season,INNING,INNING_TB,HOME_AWAY,RUNNER_STATE,OUT_COUNT,UNDER_4,UNDER_3,UNDER_2,UNDER_1,TIED,UPPER_1,UPPER_2,UPPER_3,UPPER_4
2025,6,0,away,1,2,0.54,0.8,1.11,1.35,1.27,0.97,0.71,0.49,0.3
2025,6,0,away,2,2,0.69,1.04,1.46,1.87,1.82,1.41,1.04,0.71,0.46
2025,6,0,away,3,2,1.15,1.67,2.22,2.62,2.44,1.87,1.36,0.91,0.56
2025,6,0,away,4,2,0.73,1.1,1.56,2.03,2.02,1.57,1.16,0.79,0.52
2025,6,0,away,5,2,1.18,1.72,2.29,2.73,2.57,1.97,1.43,0.96,0.6
2025,6,0,away,6,2,1.43,2.07,2.81,3.29,3.02,2.31,1.67,1.12,0.61
2025,6,0,away,7,2,2.33,3.25,4.13,4.63,4.19,3.17,2.26,1.48,0.82
2025,6,1,home,0,0,0.83,1.12,1.38,1.52,1.29,0.86,0.55,0.34,0.21
2025,6,1,home,1,0,1.4,1.84,2.2,2.3,1.87,1.23,0.8,0.49,0.28
2025,6,1,home,2,0,1.26,1.63,1.91,1.9,1.5,0.99,0.64,0.38,0.22
2025,6,1,home,3,0,2.18,2.71,2.99,2.86,2.21,1.44,0.92,0.55,0.31
2025,6,1,home,4,0,1.36,1.76,2.04,1.95,1.47,0.97,0.61,0.38,0.22
2025,6,1,home,5,0,1.95,2.38,2.57,2.24,1.61,1.05,0.65,0.39,0.21
2025,6,1,home,6,0,1.71,2.02,2.04,1.73,1.28,0.83,0.53,0.31,0.15
